function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.keras.Sequential,1.38,41.08,14.42,18.52,1354.07,1016.32,1030.74,10.11,27.39
tensorflow.keras.models.Sequential.fit,245.0,20041.66,15761.14,19.51,1470.58,1120.43,16881.57,4.27,81.97
tensorflow.lite.TFLiteConverter.from_keras_model.convert,8.83,486.42,321.59,18.52,1295.28,965.64,1287.23,24.59,51.2
tensorflow.keras.Sequential,0.59,20.21,2.94,18.53,1283.01,954.97,957.91,4.45,20.21
tensorflow.keras.Sequential.fit,74.42,5284.84,3992.14,19.02,1381.59,1040.94,5033.08,8.56,71.42
tensorflow.keras.Sequential.evaluate,1.52,85.96,50.57,17.52,1257.72,939.19,989.76,25.13,42.98
tensorflow.keras.Sequential.predict,1.21,60.97,26.49,18.53,1299.68,972.15,998.65,15.81,30.48
tensorflow.keras.layers.Normalization.adapt,1.03,18.92,1.6,19.02,1343.5,1005.86,1007.46,2.16,18.92
tensorflow.keras.Sequential.predict,0.99,40.52,14.19,18.52,1343.02,1009.6,1023.8,14.37,27.01
tensorflow.keras.Sequential.compile,0.03,8.72,0.02,18.53,1276.92,946.34,946.36,nan,17.43
tensorflow.keras.Sequential.fit,5.05,303.98,216.75,20.01,1436.05,1078.43,1295.18,21.18,60.8
tensorflow.keras.Sequential.fit,5.26,361.56,256.79,18.02,1284.25,961.2,1217.99,21.63,60.26
tensorflow.compat.v1.estimator.DNNClassifier,0.69,8.88,-0.02,19.02,1341.46,994.27,994.24,nan,17.76
tensorflow.compat.v1.estimator.train_and_evaluate,2.51,89.84,45.75,18.52,1315.23,980.17,1025.92,23.21,35.93
tensorflow.keras.utils.audio_dataset_from_directory,1.21,44.54,10.07,18.52,1300.32,972.84,982.9,9.84,22.27
tensorflow.keras.layers.Normalization.adapt,1.46,77.08,42.22,18.01,1294.82,972.36,1014.58,24.54,38.54
tensorflow.saved_model.save,1.32,26.39,0.22,19.03,1344.64,1004.37,1004.58,0.01,17.59
tensorflow.saved_model.load,0.37,17.6,-0.11,19.51,1356.28,1001.99,1001.89,0.04,17.6
tensorflow.saved_model.load,0.11,8.84,0.0,18.51,1329.37,993.45,993.45,nan,17.68
tensorflow.constant,0.65,8.8,-0.01,20.03,1369.04,1007.7,1007.69,nan,17.6
tensorflow.matmul,0.8,36.21,9.34,19.03,1369.98,1020.66,1030.0,9.06,24.14
tensorflow.keras.Sequential.fit,5.43,326.98,240.05,18.52,1308.39,978.09,1218.14,12.81,65.4
tensorflow.keras.Model.save,4.87,202.4,115.83,19.01,1362.08,1024.47,1140.3,26.05,40.48
tensorflow.saved_model.load,3.95,64.82,3.77,19.02,1318.69,978.55,982.32,2.66,18.52
tensorflow.saved_model.load,0.33,8.65,-0.07,19.02,1308.44,968.44,968.37,nan,17.3
tensorflow.Variable,0.68,10.61,1.77,18.52,1309.32,973.5,975.27,nan,21.22
tensorflow.constant,0.69,35.84,9.52,18.02,1261.57,936.86,946.37,11.08,23.9
tensorflow.data.Dataset.from_tensor_slices.shuffle.batch,0.85,12.02,3.14,18.52,1314.81,977.61,980.75,nan,24.03
tensorflow.split,2.31,105.76,61.36,19.03,1368.32,1022.06,1083.42,27.61,42.3
tensorflow.keras.datasets.mnist.load_data,0.25,8.68,0.02,0.0,0.0,0.0,0.02,nan,17.35
tensorflow.keras.Sequential,0.75,36.44,10.54,19.01,1325.18,988.46,999.0,12.07,24.3
tensorflow.keras.models.load_model.evaluate,0.26,8.82,-0.0,19.03,1302.89,958.59,958.58,nan,17.65
tensorflow.keras.models.Sequential,0.8,8.64,0.0,19.03,1308.39,971.59,971.59,nan,17.28
tensorflow.keras.models.Sequential.numpy,0.79,9.21,0.53,19.02,1338.03,999.61,1000.14,nan,18.42
tensorflow.keras.models.Sequential.fit,52.14,3716.82,2823.56,19.02,1387.26,1049.04,3872.6,7.5,72.17
tensorflow.keras.models.Sequential.evaluate,1.5,42.9,25.25,18.52,1361.91,1026.51,1051.76,19.7,42.9
tensorflow.compat.v1.estimator.DNNClassifier,0.65,29.32,11.46,18.02,1287.94,957.46,968.91,16.24,29.32
tensorflow.compat.v1.estimator.train_and_evaluate,6.83,410.96,287.48,18.51,1334.04,998.88,1286.36,21.75,58.71
tensorflow.keras.models.Sequential.fit,46.68,3344.44,2526.41,19.51,1401.43,1049.59,3576.0,8.0,71.92
tensorflow.keras.models.Sequential.fit,30.23,2162.63,1618.13,19.02,1366.75,1018.63,2636.76,11.46,70.91
tensorflow.experimental.numpy.ones,0.67,21.08,3.47,19.52,1346.66,994.54,998.01,4.9,21.08
tensorflow.keras.Sequential,0.67,9.04,0.02,19.03,1354.82,1003.09,1003.11,nan,18.08
tensorflow.keras.Sequential.fit,82.96,6133.2,4651.88,18.53,1370.78,1031.68,5683.56,6.4,73.89
tensorflow.keras.Sequential.evaluate,1.56,41.66,23.51,19.03,1393.26,1039.34,1062.85,20.61,41.66
tensorflow.keras.Sequential,0.15,17.7,-16.31,0.0,0.0,0.0,-16.31,0.01,17.7
tensorflow.keras.Sequential.fit,53.58,3813.69,2880.81,19.02,1388.87,1048.85,3929.66,7.81,71.28
tensorflow.keras.Sequential.evaluate,1.09,53.58,26.87,18.52,1328.27,990.03,1016.9,20.47,35.72
tensorflow.Variable,0.55,12.12,3.44,18.52,1281.52,951.31,954.74,nan,24.25
tensorflow.linalg.solve,1.56,69.6,43.15,18.51,1331.04,995.88,1039.03,22.69,46.4
tensorflow.distribute.MirroredStrategy,0.68,20.19,2.96,19.53,1351.46,1007.05,1010.01,4.12,20.19
tensorflow.distribute.MirroredStrategy.run,0.28,8.77,-0.05,0.0,0.0,0.0,-0.05,nan,17.54
tensorflow.data.Dataset.from_tensor_slices,1.1,9.98,1.04,19.02,1336.82,988.18,989.22,nan,19.95
tensorflow.data.Dataset.from_tensor_slices).shuffle.batch,0.91,24.6,7.04,18.53,1304.87,971.08,978.12,9.75,24.6
tensorflow.data.Dataset.from_tensor_slices).batch,0.05,8.78,-0.02,19.53,1312.58,960.32,960.29,nan,17.57
tensorflow.data.Dataset.from_generator,0.69,11.2,2.22,18.52,1320.53,979.29,981.51,nan,22.4
tensorflow.Variable,0.62,11.42,2.69,19.52,1339.13,989.61,992.29,nan,22.85
tensorflow.keras.Model,0.81,23.83,6.08,18.53,1309.98,972.74,978.83,8.58,23.83
tensorflow.compat.v1.estimator.inputs.numpy_input_fn,0.19,8.96,0.02,0.0,0.0,0.0,0.02,nan,17.93
tensorflow.compat.v1.estimator.train_and_evaluate,6.91,373.98,267.39,19.52,1413.23,1057.92,1325.3,19.57,62.33
tensorflow.constant,0.64,19.48,1.95,18.53,1315.61,982.61,984.56,2.6,19.48
tensorflow.compat.v1.distribute.MirroredStrategy,0.5,8.84,-0.1,18.51,1268.48,928.79,928.69,nan,17.67
tensorflow.keras.models.Sequential.fit,0.53,14.72,5.95,18.02,1282.62,958.29,964.24,nan,29.43
tensorflow.keras.models.Sequential.evaluate,0.4,21.19,3.39,18.53,1333.1,994.9,998.29,4.89,21.19
tensorflow.reshape,0.32,17.6,0.08,0.0,0.0,0.0,0.08,0.06,17.6
tensorflow.saved_model.save,0.4,8.76,-0.09,18.52,1298.37,962.09,962.0,nan,17.52
tensorflow.constant,0.64,8.68,-0.05,20.02,1345.46,987.61,987.56,nan,17.36
tensorflow.matmul,0.81,8.7,-6.62,17.52,1242.4,690.56,683.93,nan,17.41
tensorflow.keras.models.Sequential,0.88,22.71,5.17,18.53,1285.26,952.08,957.25,7.25,22.71
tensorflow.keras.estimator.model_to_estimator.train,3.15,173.23,120.17,18.51,1309.06,973.01,1093.18,22.83,57.74
tensorflow.data.Dataset.from_tensor_slices,0.75,8.64,-0.03,20.02,1365.8,1010.25,1010.23,nan,17.29
tensorflow.estimator.LinearClassifier.evaluate,2.14,71.26,18.97,18.01,1269.41,947.01,965.98,12.07,23.75
tensorflow.estimator.LinearClassifier.train,7.29,392.82,261.76,18.52,1313.6,981.59,1243.35,25.39,52.38
tensorflow.estimator.LinearClassifier.evaluate,2.22,26.47,0.31,18.52,1289.25,957.87,958.18,0.17,17.65
tensorflow.keras.Model,0.81,41.7,15.87,18.51,1311.9,984.71,1000.57,11.42,27.8
tensorflow.constant,0.61,15.24,6.34,18.52,1329.0,991.08,997.42,nan,30.47
tensorflow.keras.datasets.cifar10.load_data,1.32,17.51,-0.03,0.0,0.0,0.0,-0.03,0.0,17.51
tensorflow.keras.models.Sequential,0.68,36.73,10.44,19.01,1331.9,990.12,1000.56,11.93,24.49
tensorflow.keras.models.Sequential.fit,1.37,64.06,27.86,18.52,1336.12,992.22,1020.09,19.39,32.03
tensorflow.keras.utils.get_file,0.23,8.82,-0.01,0.0,0.0,0.0,-0.01,nan,17.65
tensorflow.keras.applications.MobileNetV2,1.74,75.86,8.25,17.52,1298.99,690.46,698.72,23.97,37.93
tensorflow.keras.estimator.model_to_estimator,3.06,163.01,100.61,18.53,1315.05,976.32,1076.94,22.6,46.57
tensorflow.keras.estimator.model_to_estimator.evaluate,2.7,51.98,7.74,19.02,1360.3,1015.23,1022.97,6.8,20.79
tensorflow.estimator.LinearClassifier.train,1.08,18.58,0.95,19.01,1325.06,981.42,982.37,1.52,18.58
tensorflow.estimator.LinearClassifier.export_saved_model,0.14,8.78,0.05,19.01,1261.51,921.12,921.18,nan,17.56
tensorflow.estimator.LinearRegressor.evaluate,0.91,26.38,-0.16,18.53,1270.42,934.32,934.17,0.04,17.58
tensorflow.random.uniform,0.23,17.7,-0.02,0.0,0.0,0.0,-0.02,0.04,17.7
tensorflow.saved_model.save,0.37,9.02,0.07,18.52,1308.4,968.58,968.65,nan,18.03
tensorflow.constant,0.61,8.8,0.05,19.02,1318.19,976.62,976.67,nan,17.61
tensorflow.random.normal,0.53,8.91,-0.03,19.02,1332.56,983.7,983.67,nan,17.83
tensorflow.compat.v1.layers.conv2d,1.57,98.03,53.47,19.02,1347.39,999.82,1053.29,24.08,39.21
tensorflow.compat.v1.estimator.DNNClassifier,0.72,8.83,0.03,19.02,1323.66,980.37,980.4,nan,17.66
tensorflow.compat.v1.estimator.DNNClassifier.train,1.0,29.35,2.76,18.53,1301.41,964.55,967.31,3.22,19.57
tensorflow.compat.v1.estimator.Estimator.evaluate,0.26,17.66,-0.14,18.02,1243.78,914.44,914.31,0.02,17.66
tensorflow.keras.models.Sequential.fit,0.24,8.91,0.11,19.03,1317.44,973.9,974.01,nan,17.83
tensorflow.keras.models.Model.fit,106.32,7662.95,5825.71,19.02,1394.07,1056.09,6881.79,6.14,72.29
tensorflow.keras.models.Model.fit,173.49,13354.8,10310.5,18.52,1369.89,1037.47,11347.96,5.54,76.75
tensorflow.keras.models.Model.fit,3.13,176.88,116.15,19.02,1353.66,1015.35,1131.5,26.6,50.54
tensorflow.keras.models.Model.predict,0.45,10.14,1.45,18.52,1323.2,992.76,994.21,nan,20.29
tensorflow.keras.models.Sequential.fit,0.26,8.85,-0.0,19.02,1310.88,965.63,965.63,nan,17.7
tensorflow.constant,0.64,15.91,7.27,18.53,1294.47,965.99,973.25,nan,31.82
tensorflow.constant,0.53,17.25,-0.06,0.0,0.0,0.0,-0.06,0.0,17.25
tensorflow.compat.v1.estimator.DNNClassifier.train,1.97,48.54,12.9,19.03,1362.77,1015.38,1028.28,9.33,24.27
tensorflow.keras.Model.fit,0.46,8.86,-0.01,19.02,1328.94,983.09,983.08,nan,17.71
tensorflow.keras.datasets.mnist.load_data,0.28,8.8,-0.01,0.0,0.0,0.0,-0.01,nan,17.59
tensorflow.keras.Model.fit,3.53,194.67,133.41,19.03,1496.89,1155.58,1288.99,36.98,55.62
tensorflow.keras.Model.evaluate,1.33,42.38,24.84,18.53,1348.41,1015.06,1039.9,23.14,42.38
tensorflow.estimator.Estimator.train,0.25,8.82,-0.04,18.53,1270.25,933.68,933.64,nan,17.64
method-level (sum),1139.21,79785.04,59287.97,2736.0,193488.36,142604.98,201892.96,1218.08,4888.72
