function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_saved_model,0.06,8.78,0.02,0.0,0.0,0.0,0.02,nan,17.57
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,8.81,-0.01,19.03,1287.71,943.68,943.67,nan,17.62
tensorflow.keras.models.load_model.save,0.4,17.66,-0.07,18.51,1267.17,930.23,930.16,0.02,17.66
tensorflow.constant,0.55,8.81,0.07,19.02,1292.16,951.38,951.45,nan,17.62
tensorflow.constant,0.63,17.67,-0.12,19.52,1370.57,1014.75,1014.63,0.0,17.67
tensorflow.keras.Sequential.fit,2.8,151.89,106.94,18.51,1320.38,978.74,1085.68,18.87,60.76
tensorflow.train.Checkpoint.write,0.02,8.8,0.09,18.53,1263.12,931.96,932.05,nan,17.61
tensorflow.random.Generator.from_seed,0.66,13.46,4.72,18.52,1289.01,956.86,961.58,nan,26.92
tensorflow.distribute.MirroredStrategy,0.51,14.0,5.3,18.02,1244.56,922.54,927.84,nan,28.01
tensorflow.keras.Sequential.fit,1.43,73.41,37.95,18.52,1341.5,1004.55,1042.5,24.43,36.71
tensorflow.keras.Sequential.evaluate,0.31,8.8,0.02,18.52,1273.74,939.97,939.98,nan,17.6
tensorflow.keras.Sequential.fit,0.36,9.86,0.92,18.52,1316.64,976.55,977.46,nan,19.73
tensorflow.linspace,0.64,34.26,8.33,18.03,1279.74,959.99,968.33,9.65,22.84
tensorflow.keras.utils.get_file,0.27,8.63,-0.03,0.0,0.0,0.0,-0.03,nan,17.26
tensorflow.keras.applications.MobileNet,1.87,105.8,71.31,18.01,1255.46,936.47,1007.78,20.87,52.9
tensorflow.keras.applications.MobileNet,1.97,116.44,81.79,18.01,1263.52,943.04,1024.83,19.21,58.22
tensorflow.saved_model.save,6.4,122.84,-91.41,17.01,1208.74,673.12,581.71,0.47,17.55
tensorflow.saved_model.load,2.7,52.84,0.15,18.02,1257.48,932.54,932.69,0.03,17.61
tensorflow.saved_model.save,0.12,8.72,-0.02,19.02,1268.11,927.12,927.1,nan,17.45
tensorflow.keras.Sequential,0.22,8.79,-0.0,19.02,1305.2,962.21,962.21,nan,17.58
tensorflow.keras.Sequential.fit,3.23,214.17,143.05,18.52,1345.02,1007.2,1150.24,25.15,53.54
tensorflow.saved_model.save,1.15,17.4,-15.71,18.03,1264.75,652.3,636.59,0.02,17.4
tensorflow.RaggedTensor.from_uniform_row_length,0.11,8.96,0.01,19.02,1312.94,963.95,963.96,nan,17.92
tensorflow.random.uniform,0.66,17.61,0.07,18.53,1312.67,979.39,979.46,0.01,17.61
tensorflow.linalg.svd,1.12,16.04,7.22,20.03,1419.68,1058.35,1065.57,nan,32.07
tensorflow.map_fn,0.08,8.84,-0.01,18.52,1303.42,967.03,967.02,nan,17.68
tensorflow.keras.Sequential.fit,3.52,196.87,135.47,19.02,1376.86,1034.76,1170.23,23.95,56.25
tensorflow.keras.Sequential.fit,0.72,13.46,-1.23,17.51,1260.08,731.53,730.31,nan,26.91
tensorflow.estimator.DNNClassifier,0.66,17.44,0.1,18.52,1263.4,933.81,933.91,0.04,17.44
tensorflow.estimator.DNNClassifier.evaluate,0.81,8.6,-0.08,19.52,1307.91,960.91,960.83,nan,17.19
tensorflow.Variable,0.66,8.65,-0.07,19.01,1320.97,980.58,980.5,nan,17.31
tensorflow.add,0.81,15.02,6.1,18.52,1344.47,1005.33,1011.43,nan,30.05
tensorflow.saved_model.save,1.2,8.9,0.08,19.03,1297.37,953.35,953.43,nan,17.81
tensorflow.sparse.SparseTensor,0.54,19.91,2.36,18.51,1319.46,986.08,988.44,3.34,19.91
tensorflow.keras.applications.MobileNetV2,1.57,35.47,18.08,18.52,1298.54,968.23,986.32,17.21,35.47
tensorflow.keras.applications.MobileNetV2.predict,3.34,182.87,120.87,19.03,1404.74,1059.29,1180.16,25.48,52.25
tensorflow.data.Dataset.from_tensor_slices,0.75,8.74,-0.02,19.02,1307.49,966.13,966.11,nan,17.47
tensorflow.keras.Sequential.fit,54.05,3893.18,2952.09,20.02,1449.04,1088.43,4040.52,6.98,72.77
tensorflow.keras.Sequential.evaluate,0.92,22.76,5.03,19.02,1366.39,1020.61,1025.64,7.08,22.76
tensorflow.data.experimental.CsvDataset,0.69,8.68,-0.01,19.52,1345.22,997.3,997.28,nan,17.37
tensorflow.keras.utils.get_file,5.58,114.5,0.57,0.0,0.0,0.0,0.57,0.05,17.62
tensorflow.keras.utils.image_dataset_from_directory,0.92,8.67,-0.07,19.51,1345.06,995.37,995.3,nan,17.34
tensorflow.keras.models.Sequential.fit,18.94,2314.78,1993.69,19.01,1513.05,1174.61,3168.3,43.12,125.12
tensorflow.keras.Sequential,0.77,35.7,18.33,18.02,1285.04,963.68,982.01,17.47,35.7
tensorflow.keras.Sequential,1.39,79.46,44.37,18.52,1329.83,996.42,1040.79,24.17,39.73
tensorflow.keras.Sequential,1.29,21.76,-10.74,17.52,1271.43,686.43,675.69,5.63,21.76
tensorflow.keras.Sequential,1.49,43.7,25.98,19.02,1372.01,1026.57,1052.55,21.16,43.7
tensorflow.keras.Sequential,1.33,29.37,11.61,19.53,1401.74,1046.55,1058.17,9.08,29.37
tensorflow.keras.Sequential,1.35,67.94,41.43,18.03,1291.8,964.86,1006.29,23.98,45.29
tensorflow.keras.Sequential,1.32,78.03,51.41,18.02,1323.84,995.56,1046.97,23.29,52.02
tensorflow.keras.Sequential,1.35,37.8,11.21,19.02,1347.12,1001.45,1012.66,9.02,25.2
tensorflow.keras.Sequential,1.32,39.32,12.59,19.02,1381.28,1033.8,1046.39,9.49,26.21
