function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_saved_model,0.06,3.53,-0.03,2.0,17.89,0.11,0.08,nan,3.53
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,6.86,-0.14,0.5,7.1,0.1,-0.04,0.01,3.43
tensorflow.keras.models.load_model.save,0.4,3.66,0.12,4.01,33.31,1.49,1.62,nan,3.66
tensorflow.constant,0.55,3.69,0.03,7.01,57.94,3.01,3.04,nan,3.69
tensorflow.constant,0.63,3.41,-0.2,0.5,8.44,1.23,1.03,nan,3.41
tensorflow.keras.Sequential.fit,2.8,17.1,-0.46,0.0,0.0,0.0,-0.46,0.07,3.42
tensorflow.train.Checkpoint.write,0.02,3.63,0.1,3.0,26.52,1.82,1.92,nan,3.63
tensorflow.random.Generator.from_seed,0.66,6.98,0.0,2.5,22.58,1.64,1.64,0.17,3.49
tensorflow.distribute.MirroredStrategy,0.51,5.52,0.08,1.0,16.95,0.64,0.73,nan,5.52
tensorflow.keras.Sequential.fit,1.43,11.13,0.54,8.01,62.48,2.45,2.98,0.19,3.71
tensorflow.keras.Sequential.evaluate,0.31,3.44,-0.1,0.0,0.0,0.0,-0.1,nan,3.44
tensorflow.keras.Sequential.fit,0.36,3.53,0.02,1.0,10.79,0.26,0.28,nan,3.53
tensorflow.linspace,0.64,3.49,-0.08,0.5,8.48,1.33,1.25,nan,3.49
tensorflow.keras.utils.get_file,0.27,3.5,-0.01,2.0,17.57,0.03,0.02,nan,3.5
tensorflow.keras.applications.MobileNet,1.87,11.88,1.33,2.5,21.19,0.09,1.41,0.39,3.96
tensorflow.keras.applications.MobileNet,1.97,13.33,2.84,2.5,26.9,5.91,8.75,0.9,4.44
tensorflow.saved_model.save,6.4,58.62,12.56,7.51,60.05,3.36,15.92,0.85,4.51
tensorflow.saved_model.load,2.7,19.01,1.25,1.0,12.71,2.05,3.3,0.46,3.8
tensorflow.saved_model.save,0.12,3.55,0.05,2.0,17.72,0.22,0.27,nan,3.55
tensorflow.keras.Sequential,0.22,3.5,0.02,14.52,106.15,1.84,1.86,nan,3.5
tensorflow.keras.Sequential.fit,3.23,27.17,2.34,0.0,0.0,0.0,2.34,0.5,3.88
tensorflow.saved_model.save,1.15,6.87,-0.18,0.0,0.0,0.0,-0.18,0.04,3.44
tensorflow.RaggedTensor.from_uniform_row_length,0.11,3.61,0.1,0.0,0.0,0.0,0.1,nan,3.61
tensorflow.random.uniform,0.66,7.25,0.22,0.5,8.44,1.41,1.63,0.18,3.62
tensorflow.linalg.svd,1.12,8.15,1.06,0.5,8.82,1.73,2.79,0.76,4.08
tensorflow.map_fn,0.08,3.42,-0.13,0.0,0.0,0.0,-0.13,nan,3.42
tensorflow.keras.Sequential.fit,3.52,30.92,5.44,3.5,30.47,1.35,6.8,0.58,4.42
tensorflow.keras.Sequential.fit,0.72,3.56,-0.03,17.52,131.57,2.27,2.24,nan,3.56
tensorflow.estimator.DNNClassifier,0.66,3.59,0.0,11.01,90.89,8.37,8.37,nan,3.59
tensorflow.estimator.DNNClassifier.evaluate,0.81,3.55,-0.1,0.0,0.0,0.0,-0.1,nan,3.55
tensorflow.Variable,0.66,7.24,0.11,1.0,12.17,1.48,1.59,0.0,3.62
tensorflow.add,0.81,3.5,-0.01,0.5,9.0,1.97,1.96,nan,3.5
tensorflow.saved_model.save,1.2,7.09,0.08,8.01,60.83,1.24,1.32,0.09,3.54
tensorflow.sparse.SparseTensor,0.54,3.62,0.09,10.01,77.29,3.23,3.33,nan,3.62
tensorflow.keras.applications.MobileNetV2,1.57,13.17,2.57,1.5,15.25,1.12,3.7,1.08,4.39
tensorflow.keras.applications.MobileNetV2.predict,3.34,29.69,4.14,0.0,0.0,0.0,4.14,0.65,4.24
tensorflow.data.Dataset.from_tensor_slices,0.75,6.95,-0.1,1.5,15.83,1.73,1.63,0.18,3.48
tensorflow.keras.Sequential.fit,54.05,378.82,-5.98,0.0,0.0,0.0,-5.98,0.16,3.51
tensorflow.keras.Sequential.evaluate,0.92,3.64,0.09,20.03,147.92,2.32,2.41,nan,3.64
tensorflow.data.experimental.CsvDataset,0.69,7.31,0.29,6.51,51.02,1.9,2.2,0.08,3.66
tensorflow.keras.utils.get_file,5.58,39.58,0.34,0.0,0.0,0.0,0.34,0.11,3.6
