function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.keras.utils.image_dataset_from_directory,0.92,3.42,-0.08,15.02,111.57,3.05,2.97,nan,3.42
tensorflow.keras.models.Sequential.fit,18.94,162.47,34.4,4.51,36.12,1.51,35.91,0.5,4.39
tensorflow.keras.Sequential,0.77,3.45,-0.1,0.0,0.0,0.0,-0.1,nan,3.45
tensorflow.keras.Sequential,1.39,10.63,0.14,0.0,0.0,0.0,0.14,0.09,3.54
tensorflow.keras.Sequential,1.29,7.14,0.05,1.0,10.96,0.33,0.38,0.03,3.57
tensorflow.keras.Sequential,1.49,10.65,0.19,1.0,11.02,0.56,0.74,0.12,3.55
tensorflow.keras.Sequential,1.33,10.68,0.02,1.5,14.42,0.21,0.23,0.1,3.56
tensorflow.keras.Sequential,1.35,10.4,-0.02,4.01,31.83,0.58,0.57,0.04,3.47
tensorflow.keras.Sequential,1.32,10.57,-0.12,1.5,14.57,0.31,0.19,0.05,3.52
tensorflow.keras.Sequential,1.35,7.12,0.08,27.54,200.84,3.69,3.77,0.01,3.56
tensorflow.keras.Sequential,1.32,6.99,0.02,2.5,21.4,0.5,0.52,0.06,3.5
tensorflow.keras.Sequential,1.38,10.53,-0.13,0.0,0.0,0.0,-0.13,0.11,3.51
tensorflow.keras.models.Sequential.fit,245.0,1714.98,-31.26,0.5,7.32,0.19,-31.07,0.15,3.5
tensorflow.lite.TFLiteConverter.from_keras_model.convert,8.83,85.68,21.3,13.52,105.17,5.02,26.32,0.98,4.76
tensorflow.keras.Sequential,0.59,5.24,0.11,3.0,36.84,0.95,1.06,nan,5.24
tensorflow.keras.Sequential.fit,74.42,715.53,139.2,0.0,0.0,0.0,139.2,0.6,4.8
tensorflow.keras.Sequential.evaluate,1.52,10.74,0.24,0.0,0.0,0.0,0.24,0.24,3.58
tensorflow.keras.Sequential.predict,1.21,10.97,0.29,1.5,14.25,0.0,0.29,0.21,3.66
tensorflow.keras.layers.Normalization.adapt,1.03,7.85,0.68,0.5,8.13,0.96,1.63,0.49,3.92
tensorflow.keras.Sequential.predict,0.99,7.11,-0.18,1.0,12.89,1.95,1.77,0.09,3.56
tensorflow.keras.Sequential.compile,0.03,3.57,-0.01,0.0,0.0,0.0,-0.01,nan,3.57
tensorflow.keras.Sequential.fit,5.05,35.92,-0.58,3.0,25.89,0.34,-0.24,0.06,3.59
tensorflow.keras.Sequential.fit,5.26,36.23,-0.27,0.0,0.0,0.0,-0.27,0.05,3.62
tensorflow.compat.v1.estimator.DNNClassifier,0.69,7.05,0.06,17.02,125.46,3.14,3.2,0.04,3.52
tensorflow.compat.v1.estimator.train_and_evaluate,2.51,19.83,2.51,27.53,198.24,4.28,6.8,0.51,3.97
tensorflow.keras.utils.audio_dataset_from_directory,1.21,10.84,-0.03,0.0,0.0,0.0,-0.03,0.12,3.61
tensorflow.keras.layers.Normalization.adapt,1.46,7.58,0.62,13.02,103.46,9.48,10.1,0.48,3.79
tensorflow.saved_model.save,1.32,10.53,-0.11,2.0,18.25,0.51,0.4,0.06,3.51
tensorflow.saved_model.load,0.37,3.42,-0.09,1.0,10.96,0.44,0.35,nan,3.42
tensorflow.saved_model.load,0.11,3.41,-0.09,1.0,10.62,0.12,0.03,nan,3.41
tensorflow.constant,0.65,3.49,-0.02,4.51,36.85,1.74,1.72,nan,3.49
tensorflow.matmul,0.8,7.41,0.27,0.5,8.87,1.73,2.0,0.18,3.7
tensorflow.keras.Sequential.fit,5.43,54.57,3.41,0.0,0.0,0.0,3.41,0.19,5.46
tensorflow.keras.Model.save,4.87,39.92,4.71,16.02,123.06,6.87,11.58,0.75,3.99
tensorflow.saved_model.load,3.95,30.08,1.66,0.5,9.68,2.57,4.23,0.6,3.76
tensorflow.saved_model.load,0.33,3.5,-0.03,0.0,0.0,0.0,-0.03,nan,3.5
tensorflow.Variable,0.68,3.57,0.02,2.5,22.85,1.58,1.6,nan,3.57
tensorflow.constant,0.69,7.07,0.01,8.01,62.32,2.33,2.34,0.01,3.54
tensorflow.data.Dataset.from_tensor_slices.shuffle.batch,0.85,3.59,0.06,9.01,71.65,4.49,4.55,nan,3.59
tensorflow.split,2.31,21.61,4.21,27.54,201.48,6.6,10.81,0.73,4.32
tensorflow.keras.datasets.mnist.load_data,0.25,3.65,0.02,7.01,55.34,0.94,0.96,nan,3.65
tensorflow.keras.Sequential,0.75,7.37,0.2,0.0,0.0,0.0,0.2,0.05,3.68
tensorflow.keras.models.load_model.evaluate,0.26,3.52,-0.05,0.0,0.0,0.0,-0.05,nan,3.52
tensorflow.keras.models.Sequential,0.8,7.1,-0.07,0.5,8.72,1.55,1.48,0.04,3.55
tensorflow.keras.models.Sequential.numpy,0.79,7.24,0.19,0.5,8.91,1.86,2.05,0.24,3.62
tensorflow.keras.models.Sequential.fit,52.14,366.51,-1.62,0.0,0.0,0.0,-1.62,0.14,3.52
tensorflow.keras.models.Sequential.evaluate,1.5,10.67,0.08,7.51,57.23,0.74,0.82,0.21,3.56
tensorflow.compat.v1.estimator.DNNClassifier,0.65,7.21,0.1,3.0,26.51,1.64,1.74,0.22,3.6
tensorflow.compat.v1.estimator.train_and_evaluate,6.83,50.03,3.55,0.5,7.63,0.48,4.03,0.33,3.85
tensorflow.keras.models.Sequential.fit,46.68,337.07,12.57,27.53,203.56,8.16,20.73,0.24,3.62
tensorflow.keras.models.Sequential.fit,30.23,221.16,1.0,0.0,0.0,0.0,1.0,0.11,3.63
tensorflow.experimental.numpy.ones,0.67,3.52,-0.01,2.0,19.29,1.62,1.61,nan,3.52
tensorflow.keras.Sequential,0.67,3.43,-0.13,0.5,8.63,1.51,1.39,nan,3.43
tensorflow.keras.Sequential.fit,82.96,584.75,7.87,14.02,103.38,1.99,9.86,0.18,3.54
tensorflow.keras.Sequential.evaluate,1.56,10.73,0.13,0.5,7.17,0.1,0.23,0.28,3.58
tensorflow.keras.Sequential,0.15,3.59,0.1,0.0,0.0,0.0,0.1,nan,3.59
tensorflow.keras.Sequential.fit,53.58,384.92,2.31,0.0,0.0,0.0,2.31,0.26,3.63
tensorflow.keras.Sequential.evaluate,1.09,10.66,0.1,1.0,10.67,0.11,0.21,0.02,3.55
tensorflow.Variable,0.55,7.12,-0.16,2.0,20.08,1.89,1.73,0.01,3.56
tensorflow.linalg.solve,1.56,11.02,0.56,0.5,7.39,0.42,0.97,0.14,3.67
tensorflow.distribute.MirroredStrategy,0.68,7.15,0.09,4.0,34.15,2.38,2.47,0.09,3.58
tensorflow.distribute.MirroredStrategy.run,0.28,3.48,-0.08,0.5,7.51,0.38,0.3,nan,3.48
tensorflow.data.Dataset.from_tensor_slices,1.1,7.31,0.3,7.51,60.22,4.14,4.44,0.39,3.66
tensorflow.data.Dataset.from_tensor_slices).shuffle.batch,0.91,7.65,0.53,0.0,0.0,0.0,0.53,0.35,3.82
tensorflow.data.Dataset.from_tensor_slices).batch,0.05,3.44,-0.05,1.0,10.53,0.07,0.03,nan,3.44
tensorflow.data.Dataset.from_generator,0.69,3.55,-0.02,2.0,19.44,1.61,1.59,nan,3.55
tensorflow.Variable,0.62,3.59,0.05,1.5,15.86,1.68,1.73,nan,3.59
tensorflow.keras.Model,0.81,3.47,-0.1,0.5,9.03,1.9,1.8,nan,3.47
tensorflow.compat.v1.estimator.inputs.numpy_input_fn,0.19,3.66,0.02,2.5,22.38,0.55,0.57,nan,3.66
tensorflow.compat.v1.estimator.train_and_evaluate,6.91,53.73,3.15,0.0,0.0,0.0,3.15,0.35,3.84
tensorflow.constant,0.64,3.51,-0.04,0.5,8.48,1.38,1.33,nan,3.51
tensorflow.compat.v1.distribute.MirroredStrategy,0.5,5.34,0.16,0.5,10.85,0.49,0.66,nan,5.34
tensorflow.keras.models.Sequential.fit,0.53,7.34,0.23,27.54,203.61,4.42,4.64,0.01,3.67
tensorflow.keras.models.Sequential.evaluate,0.4,3.48,-0.03,7.01,53.96,1.27,1.24,nan,3.48
tensorflow.reshape,0.32,3.63,0.06,0.5,9.41,2.27,2.33,nan,3.63
tensorflow.saved_model.save,0.4,3.51,-0.02,23.53,172.28,2.92,2.91,nan,3.51
tensorflow.constant,0.64,3.66,0.07,2.0,19.55,1.59,1.66,nan,3.66
tensorflow.matmul,0.81,3.55,0.03,0.5,9.82,2.79,2.82,nan,3.55
tensorflow.keras.models.Sequential,0.88,7.64,0.52,0.0,0.0,0.0,0.52,0.41,3.82
tensorflow.keras.estimator.model_to_estimator.train,3.15,23.54,2.59,0.0,0.0,0.0,2.59,0.64,3.92
tensorflow.data.Dataset.from_tensor_slices,0.75,3.54,0.06,0.5,8.68,1.72,1.78,nan,3.54
tensorflow.estimator.LinearClassifier.evaluate,2.14,13.96,-0.33,5.51,43.55,0.68,0.35,0.06,3.49
tensorflow.estimator.LinearClassifier.train,7.29,53.25,-0.75,1.5,14.63,0.23,-0.52,0.18,3.55
tensorflow.estimator.LinearClassifier.evaluate,2.22,14.14,-0.02,1.0,10.92,0.3,0.27,0.11,3.54
tensorflow.keras.Model,0.81,7.64,0.6,0.0,0.0,0.0,0.6,0.4,3.82
tensorflow.constant,0.61,6.92,-0.22,1.5,15.83,1.55,1.33,0.01,3.46
tensorflow.keras.datasets.cifar10.load_data,1.32,10.77,0.13,0.5,8.6,1.51,1.64,0.22,3.59
tensorflow.keras.models.Sequential,0.68,3.47,-0.01,10.51,78.72,2.23,2.22,nan,3.47
tensorflow.keras.models.Sequential.fit,1.37,10.57,-0.17,0.0,0.0,0.0,-0.17,0.11,3.52
tensorflow.keras.utils.get_file,0.23,3.76,0.09,6.01,48.28,0.56,0.65,nan,3.76
tensorflow.keras.applications.MobileNetV2,1.74,10.64,-0.21,2.0,18.12,0.04,-0.17,0.13,3.55
tensorflow.keras.estimator.model_to_estimator,3.06,21.27,-0.25,19.52,146.83,3.34,3.09,0.11,3.54
tensorflow.keras.estimator.model_to_estimator.evaluate,2.7,22.35,4.85,10.01,80.06,6.54,11.39,0.93,4.47
tensorflow.estimator.LinearClassifier.train,1.08,10.62,0.13,1.0,10.58,0.09,0.23,0.1,3.54
tensorflow.estimator.LinearClassifier.export_saved_model,0.14,3.45,-0.07,1.0,10.69,0.13,0.06,nan,3.45
tensorflow.estimator.LinearRegressor.evaluate,0.91,7.06,0.04,0.5,7.17,0.15,0.2,0.2,3.53
tensorflow.random.uniform,0.23,3.68,0.09,0.5,8.6,1.42,1.51,nan,3.68
tensorflow.saved_model.save,0.37,3.58,0.05,0.5,7.14,0.07,0.12,nan,3.58
tensorflow.constant,0.61,7.19,-0.03,0.0,0.0,0.0,-0.03,0.11,3.6
tensorflow.random.normal,0.53,3.52,-0.08,1.5,16.28,1.9,1.82,nan,3.52
tensorflow.compat.v1.layers.conv2d,1.57,12.15,1.53,0.5,9.61,2.53,4.06,0.7,4.05
tensorflow.compat.v1.estimator.DNNClassifier,0.72,7.42,0.27,1.5,16.27,1.97,2.24,0.17,3.71
tensorflow.compat.v1.estimator.DNNClassifier.train,1.0,7.2,-0.05,9.51,76.04,3.53,3.48,0.16,3.6
tensorflow.compat.v1.estimator.Estimator.evaluate,0.26,3.53,0.03,3.0,24.67,0.18,0.21,nan,3.53
tensorflow.keras.models.Sequential.fit,0.24,3.59,0.07,5.01,39.34,0.57,0.63,nan,3.59
tensorflow.keras.models.Model.fit,106.32,752.03,-13.98,2.5,21.85,0.17,-13.81,0.17,3.55
tensorflow.keras.models.Model.fit,173.49,1211.58,-16.55,7.51,57.63,0.84,-15.71,0.15,3.5
tensorflow.keras.models.Model.fit,3.13,26.81,1.62,3.0,26.82,1.63,3.25,0.36,3.83
tensorflow.keras.models.Model.predict,0.45,3.63,0.1,9.01,68.67,1.52,1.61,nan,3.63
tensorflow.keras.models.Sequential.fit,0.26,3.44,-0.11,6.01,46.37,0.23,0.12,nan,3.44
tensorflow.constant,0.64,3.54,-0.05,0.5,8.53,1.35,1.3,nan,3.54
tensorflow.constant,0.53,3.45,-0.1,0.0,0.0,0.0,-0.1,nan,3.45
tensorflow.compat.v1.estimator.DNNClassifier.train,1.97,15.82,1.39,9.01,71.58,3.05,4.44,0.59,3.96
tensorflow.keras.Model.fit,0.46,3.57,-0.04,1.0,10.91,0.09,0.06,nan,3.57
tensorflow.keras.datasets.mnist.load_data,0.28,3.5,-0.06,0.0,0.0,0.0,-0.06,nan,3.5
tensorflow.keras.Model.fit,3.53,29.14,4.26,5.51,44.75,2.11,6.37,0.43,4.16
tensorflow.keras.Model.evaluate,1.33,7.26,0.18,2.0,17.72,0.02,0.19,0.08,3.63
tensorflow.estimator.Estimator.train,0.25,3.56,-0.02,3.0,30.52,5.45,5.43,nan,3.56
method-level (sum),1139.21,8439.5,226.02,636.81,5178.79,224.29,450.32,25.27,588.22
