function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.keras.utils.image_dataset_from_directory,0.92,17.95,0.27,18.02,691.49,37.49,37.76,nan,17.95
tensorflow.keras.models.Sequential.fit,18.94,906.86,262.14,18.52,698.96,36.81,298.94,3.05,24.51
tensorflow.keras.Sequential,0.77,17.16,-0.28,17.52,660.02,32.28,32.0,nan,17.16
tensorflow.keras.Sequential,1.39,64.29,12.07,17.52,661.01,34.42,46.5,3.87,21.43
tensorflow.keras.Sequential,1.29,39.38,4.23,16.52,632.65,35.03,39.26,3.31,19.69
tensorflow.keras.Sequential,1.49,64.68,12.4,20.53,770.39,38.53,50.93,3.91,21.56
tensorflow.keras.Sequential,1.33,62.2,9.71,18.02,679.41,31.99,41.7,3.8,20.73
tensorflow.keras.Sequential,1.35,62.69,10.61,19.02,716.4,39.37,49.98,3.8,20.9
tensorflow.keras.Sequential,1.32,62.55,10.0,18.52,699.62,33.94,43.93,3.76,20.85
tensorflow.keras.Sequential,1.35,39.3,4.41,18.02,692.06,46.52,50.93,3.59,19.65
tensorflow.keras.Sequential,1.32,39.0,4.02,17.52,669.56,39.87,43.89,3.22,19.5
tensorflow.keras.Sequential,1.38,64.61,11.88,18.02,680.82,30.46,42.34,3.74,21.54
tensorflow.keras.models.Sequential.fit,245.0,11871.79,3336.24,17.02,636.64,26.96,3363.19,0.99,24.23
tensorflow.lite.TFLiteConverter.from_keras_model.convert,8.83,604.85,291.28,16.52,667.67,75.36,366.64,9.87,33.6
tensorflow.keras.Sequential,0.59,42.16,-0.26,6.51,609.63,15.77,15.51,nan,42.16
tensorflow.keras.Sequential.fit,74.42,5287.43,1373.24,0.0,0.0,0.0,1373.24,6.83,35.49
tensorflow.keras.Sequential.evaluate,1.52,63.98,11.35,16.02,602.13,23.19,34.54,3.62,21.33
tensorflow.keras.Sequential.predict,1.21,59.99,8.23,19.52,723.93,33.75,41.98,3.29,20.0
tensorflow.keras.layers.Normalization.adapt,1.03,39.78,4.7,17.52,663.58,32.1,36.8,3.69,19.89
tensorflow.keras.Sequential.predict,0.99,36.48,1.9,22.03,818.73,40.6,42.5,1.37,18.24
tensorflow.keras.Sequential.compile,0.03,17.21,-0.17,17.02,630.5,22.24,22.08,nan,17.21
tensorflow.keras.Sequential.fit,5.05,246.21,73.04,18.02,681.51,40.77,113.81,2.99,24.62
tensorflow.keras.Sequential.fit,5.26,242.6,68.31,17.52,664.76,37.31,105.61,2.89,24.26
tensorflow.compat.v1.estimator.DNNClassifier,0.69,35.61,0.92,19.02,713.05,36.65,37.58,0.76,17.8
tensorflow.compat.v1.estimator.train_and_evaluate,2.51,114.63,27.97,17.52,657.63,33.67,61.64,3.31,22.93
tensorflow.keras.utils.audio_dataset_from_directory,1.21,59.5,7.67,17.02,634.81,30.08,37.75,2.85,19.83
tensorflow.keras.layers.Normalization.adapt,1.46,41.61,7.0,19.02,784.66,109.84,116.85,5.17,20.8
tensorflow.saved_model.save,1.32,58.73,7.03,18.02,679.76,42.07,49.1,3.92,19.58
tensorflow.saved_model.load,0.37,17.33,0.12,19.02,704.8,33.49,33.61,nan,17.33
tensorflow.saved_model.load,0.11,17.38,0.01,18.52,683.74,23.78,23.8,nan,17.38
tensorflow.constant,0.65,17.07,-0.21,20.53,761.94,36.03,35.82,nan,17.07
tensorflow.matmul,0.8,36.74,2.1,17.52,656.71,33.27,35.38,1.71,18.37
tensorflow.keras.Sequential.fit,5.43,437.0,29.49,0.0,0.0,0.0,29.49,1.22,43.7
tensorflow.keras.Model.save,4.87,262.66,90.72,19.52,778.72,90.96,181.68,7.03,26.27
tensorflow.saved_model.load,3.95,196.48,55.35,17.02,667.82,50.36,105.7,5.2,24.56
tensorflow.saved_model.load,0.33,17.12,-0.08,18.02,667.37,30.93,30.85,nan,17.12
tensorflow.Variable,0.68,17.13,-0.32,18.02,676.73,31.12,30.8,nan,17.13
tensorflow.constant,0.69,34.64,0.06,18.52,693.7,36.59,36.65,0.17,17.32
tensorflow.data.Dataset.from_tensor_slices.shuffle.batch,0.85,17.86,0.34,16.52,665.94,70.36,70.71,nan,17.86
tensorflow.split,2.31,109.92,23.22,17.52,663.82,39.59,62.81,4.09,21.98
tensorflow.keras.datasets.mnist.load_data,0.25,17.07,-0.09,2.0,89.27,3.46,3.37,nan,17.07
tensorflow.keras.Sequential,0.75,36.64,2.1,18.02,674.5,35.54,37.64,1.27,18.32
tensorflow.keras.models.load_model.evaluate,0.26,17.34,-0.68,2.5,112.91,4.81,4.13,nan,17.34
tensorflow.keras.models.Sequential,0.8,34.58,-0.7,16.02,642.51,60.32,59.62,0.45,17.29
tensorflow.keras.models.Sequential.numpy,0.79,36.61,2.03,18.02,675.33,35.65,37.68,1.31,18.3
tensorflow.keras.models.Sequential.fit,52.14,2414.25,604.62,18.02,679.04,35.23,639.85,0.69,23.21
tensorflow.keras.models.Sequential.evaluate,1.5,63.82,12.01,21.53,796.12,36.17,48.18,3.52,21.27
tensorflow.compat.v1.estimator.DNNClassifier,0.65,35.73,1.34,19.52,722.76,35.05,36.39,0.91,17.87
tensorflow.compat.v1.estimator.train_and_evaluate,6.83,310.61,86.59,18.02,672.25,34.67,121.26,2.01,23.89
tensorflow.keras.models.Sequential.fit,46.68,2424.87,803.16,17.02,643.7,33.38,836.54,3.13,26.07
tensorflow.keras.models.Sequential.fit,30.23,1551.16,497.69,23.53,873.25,44.29,541.98,1.99,25.43
tensorflow.experimental.numpy.ones,0.67,17.2,-0.01,23.53,864.34,38.09,38.08,nan,17.2
tensorflow.keras.Sequential,0.67,17.25,-0.45,16.52,623.18,21.3,20.85,nan,17.25
tensorflow.keras.Sequential.fit,82.96,3845.83,974.95,17.52,669.2,42.83,1017.78,0.52,23.31
tensorflow.keras.Sequential.evaluate,1.56,63.64,11.37,17.02,639.96,30.2,41.57,3.38,21.21
tensorflow.keras.Sequential,0.15,17.08,-0.41,0.0,0.0,0.0,-0.41,nan,17.08
tensorflow.keras.Sequential.fit,53.58,2558.83,685.33,16.52,629.52,28.59,713.92,1.36,24.14
tensorflow.keras.Sequential.evaluate,1.09,59.58,7.74,26.03,953.35,37.54,45.28,3.64,19.86
tensorflow.Variable,0.55,35.75,-0.02,15.52,601.47,29.09,29.07,0.33,17.88
tensorflow.linalg.solve,1.56,63.15,11.33,21.53,793.99,34.02,45.36,3.03,21.05
tensorflow.distribute.MirroredStrategy,0.68,34.89,-0.18,17.52,659.07,27.88,27.71,0.36,17.44
tensorflow.distribute.MirroredStrategy.run,0.28,17.21,-0.04,1.0,56.44,4.7,4.66,nan,17.21
tensorflow.data.Dataset.from_tensor_slices,1.1,37.21,2.32,17.52,683.89,55.9,58.22,1.58,18.6
tensorflow.data.Dataset.from_tensor_slices).shuffle.batch,0.91,38.68,3.92,17.02,642.16,33.82,37.73,3.17,19.34
tensorflow.data.Dataset.from_tensor_slices).batch,0.05,17.13,-0.22,19.52,717.5,23.47,23.25,nan,17.13
tensorflow.data.Dataset.from_generator,0.69,17.41,-0.04,17.52,660.66,32.39,32.35,nan,17.41
tensorflow.Variable,0.62,17.33,-0.06,17.52,656.11,30.16,30.1,nan,17.33
tensorflow.keras.Model,0.81,17.44,0.15,17.02,639.33,34.13,34.28,nan,17.44
tensorflow.compat.v1.estimator.inputs.numpy_input_fn,0.19,17.23,-0.14,1.5,72.67,3.2,3.07,nan,17.23
tensorflow.compat.v1.estimator.train_and_evaluate,6.91,329.05,85.64,18.52,696.47,35.78,121.42,2.58,23.5
tensorflow.constant,0.64,17.2,-0.1,18.02,671.91,31.99,31.89,nan,17.2
tensorflow.compat.v1.distribute.MirroredStrategy,0.5,42.15,0.93,15.02,1287.75,9.83,10.76,nan,42.15
tensorflow.keras.models.Sequential.fit,0.53,35.03,-0.77,18.53,720.22,40.11,39.35,0.21,17.52
tensorflow.keras.models.Sequential.evaluate,0.4,17.88,0.18,16.52,626.45,24.53,24.71,nan,17.88
tensorflow.reshape,0.32,17.72,-0.26,0.5,62.56,26.6,26.34,nan,17.72
tensorflow.saved_model.save,0.4,17.39,0.21,21.53,788.35,32.4,32.61,nan,17.39
tensorflow.constant,0.64,17.17,-0.1,19.02,709.71,36.06,35.96,nan,17.17
tensorflow.matmul,0.81,17.15,-0.37,18.03,869.8,221.74,221.37,nan,17.15
tensorflow.keras.models.Sequential,0.88,39.23,4.95,18.52,690.51,39.14,44.09,3.12,19.62
tensorflow.keras.estimator.model_to_estimator.train,3.15,139.26,35.93,17.52,656.62,36.61,72.54,3.14,23.21
tensorflow.data.Dataset.from_tensor_slices,0.75,17.1,-0.16,19.52,730.04,39.51,39.35,nan,17.1
tensorflow.estimator.LinearClassifier.evaluate,2.14,84.45,14.74,16.52,626.89,34.35,49.09,3.33,21.11
tensorflow.estimator.LinearClassifier.train,7.29,355.55,96.34,19.02,705.94,32.0,128.34,1.92,23.7
tensorflow.estimator.LinearClassifier.evaluate,2.22,88.02,18.9,17.52,660.06,38.02,56.92,3.29,22.0
tensorflow.keras.Model,0.81,39.26,4.19,17.02,640.65,26.85,31.03,2.94,19.63
tensorflow.constant,0.61,34.26,-0.41,17.52,656.77,32.62,32.21,0.18,17.13
tensorflow.keras.datasets.cifar10.load_data,1.32,58.17,5.55,0.5,43.79,8.71,14.27,3.33,19.39
tensorflow.keras.models.Sequential,0.68,17.46,0.04,19.02,718.37,38.85,38.89,nan,17.46
tensorflow.keras.models.Sequential.fit,1.37,59.59,7.74,17.02,636.86,31.95,39.69,3.43,19.86
tensorflow.keras.utils.get_file,0.23,17.09,-0.16,2.5,106.58,3.05,2.89,nan,17.09
tensorflow.keras.applications.MobileNetV2,1.74,62.86,10.66,17.02,637.23,28.24,38.9,3.56,20.95
tensorflow.keras.estimator.model_to_estimator,3.06,135.18,31.67,17.02,671.77,67.97,99.64,3.37,22.53
tensorflow.keras.estimator.model_to_estimator.evaluate,2.7,153.57,67.05,17.52,724.11,101.18,168.24,11.15,30.71
tensorflow.estimator.LinearClassifier.train,1.08,58.66,6.96,20.03,743.0,36.4,43.35,4.06,19.55
tensorflow.estimator.LinearClassifier.export_saved_model,0.14,17.09,-0.12,18.02,665.45,28.86,28.74,nan,17.09
tensorflow.estimator.LinearRegressor.evaluate,0.91,36.03,1.35,16.52,623.05,33.44,34.79,1.21,18.02
tensorflow.random.uniform,0.23,17.17,-0.72,0.5,55.74,19.95,19.23,nan,17.17
tensorflow.saved_model.save,0.37,17.19,-0.1,18.02,666.4,26.6,26.49,nan,17.19
tensorflow.constant,0.61,35.61,0.69,16.52,626.46,32.8,33.49,0.86,17.8
tensorflow.random.normal,0.53,17.01,-0.79,15.52,615.4,45.68,44.89,nan,17.01
tensorflow.compat.v1.layers.conv2d,1.57,60.88,9.23,19.02,712.28,40.85,50.08,4.11,20.29
tensorflow.compat.v1.estimator.DNNClassifier,0.72,35.72,1.09,27.53,1008.27,38.7,39.79,0.64,17.86
tensorflow.compat.v1.estimator.DNNClassifier.train,1.0,36.46,1.78,18.52,731.06,72.16,73.94,1.36,18.23
tensorflow.compat.v1.estimator.Estimator.evaluate,0.26,17.14,-0.03,23.53,857.7,33.73,33.71,nan,17.14
tensorflow.keras.models.Sequential.fit,0.24,17.16,-0.13,17.52,650.9,28.6,28.47,nan,17.16
tensorflow.keras.models.Model.fit,106.32,4937.4,1265.61,18.02,673.74,32.91,1298.52,0.57,23.29
tensorflow.keras.models.Model.fit,173.49,8022.61,2052.99,27.54,1040.74,74.56,2127.54,0.44,23.19
tensorflow.keras.models.Model.fit,3.13,163.62,42.6,24.03,898.14,50.98,93.58,4.18,23.37
tensorflow.keras.models.Model.predict,0.45,17.19,-0.13,21.03,783.25,38.28,38.14,nan,17.19
tensorflow.keras.models.Sequential.fit,0.26,17.17,-0.08,20.03,740.15,32.82,32.74,nan,17.17
tensorflow.constant,0.64,17.45,-0.63,24.53,989.04,84.88,84.24,nan,17.45
tensorflow.constant,0.53,17.36,-0.88,0.0,0.0,0.0,-0.88,nan,17.36
tensorflow.compat.v1.estimator.DNNClassifier.train,1.97,92.32,22.98,19.52,745.97,52.53,75.51,5.05,23.08
tensorflow.keras.Model.fit,0.46,17.3,-0.01,17.52,658.04,34.85,34.84,nan,17.3
tensorflow.keras.datasets.mnist.load_data,0.28,17.2,-0.09,3.5,144.16,5.84,5.75,nan,17.2
tensorflow.keras.Model.fit,3.53,158.2,37.87,23.53,866.62,41.52,79.4,3.59,22.6
tensorflow.keras.Model.evaluate,1.33,38.68,4.1,18.52,695.13,38.06,42.16,3.05,19.34
tensorflow.estimator.Estimator.train,0.25,17.04,-0.16,17.02,665.48,63.54,63.38,nan,17.04
method-level (sum),1139.21,55843.72,14422.81,2636.33,101142.38,5868.19,20290.99,280.05,3232.64
