function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_saved_model,0.06,16.95,-0.24,0.5,34.93,0.55,0.31,nan,16.95
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,34.85,0.61,17.52,652.48,36.21,36.83,0.62,17.42
tensorflow.keras.models.load_model.save,0.4,17.32,0.11,27.53,1012.8,49.08,49.19,nan,17.32
tensorflow.constant,0.55,17.07,-0.13,17.02,645.49,43.61,43.49,nan,17.07
tensorflow.constant,0.63,17.02,-0.54,17.02,637.28,22.85,22.31,nan,17.02
tensorflow.keras.Sequential.fit,2.8,110.01,23.68,17.02,637.78,33.47,57.15,2.64,22.0
tensorflow.train.Checkpoint.write,0.02,17.16,-0.05,18.52,692.27,38.11,38.05,nan,17.16
tensorflow.random.Generator.from_seed,0.66,35.06,0.49,18.02,686.21,46.73,47.22,0.18,17.53
tensorflow.distribute.MirroredStrategy,0.51,40.9,0.66,1.0,126.71,5.98,6.64,nan,40.9
tensorflow.keras.Sequential.fit,1.43,61.53,9.51,17.52,663.55,39.29,48.8,3.67,20.51
tensorflow.keras.Sequential.evaluate,0.31,17.46,0.22,21.53,789.75,31.07,31.29,nan,17.46
tensorflow.keras.Sequential.fit,0.36,17.18,-0.3,16.52,617.62,23.4,23.11,nan,17.18
tensorflow.linspace,0.64,17.11,-0.32,17.52,659.63,32.1,31.77,nan,17.11
tensorflow.keras.utils.get_file,0.27,17.29,0.12,1.5,70.64,1.96,2.08,nan,17.29
tensorflow.keras.applications.MobileNet,1.87,64.91,13.33,17.52,655.17,36.23,49.56,3.86,21.64
tensorflow.keras.applications.MobileNet,1.97,68.14,16.71,18.02,721.79,87.48,104.19,4.9,22.71
tensorflow.saved_model.save,6.4,413.0,187.74,16.52,663.84,74.71,262.45,9.25,31.77
tensorflow.saved_model.load,2.7,110.79,21.24,15.02,594.21,39.0,60.24,3.52,22.16
tensorflow.saved_model.save,0.12,17.48,0.28,17.52,644.01,24.84,25.12,nan,17.48
tensorflow.keras.Sequential,0.22,17.17,-0.16,20.03,737.51,26.87,26.7,nan,17.17
tensorflow.keras.Sequential.fit,3.23,159.77,39.04,21.53,794.8,35.93,74.97,3.16,22.82
tensorflow.saved_model.save,1.15,37.18,2.13,17.02,642.9,29.6,31.73,1.92,18.59
tensorflow.RaggedTensor.from_uniform_row_length,0.11,17.5,-0.04,17.02,631.94,18.01,17.97,nan,17.5
tensorflow.random.uniform,0.66,36.14,1.27,17.02,641.68,31.49,32.76,1.09,18.07
tensorflow.linalg.svd,1.12,41.44,6.92,19.02,708.0,34.77,41.69,4.77,20.72
tensorflow.map_fn,0.08,17.27,-0.04,19.02,701.1,26.09,26.05,nan,17.27
tensorflow.keras.Sequential.fit,3.52,166.34,44.87,17.02,646.34,38.99,83.86,2.98,23.76
tensorflow.keras.Sequential.fit,0.72,17.46,0.08,17.52,659.97,34.36,34.44,nan,17.46
tensorflow.estimator.DNNClassifier,0.66,17.46,0.2,17.52,720.31,99.11,99.32,nan,17.46
tensorflow.estimator.DNNClassifier.evaluate,0.81,17.49,0.09,17.52,655.76,29.23,29.32,nan,17.49
tensorflow.Variable,0.66,34.54,0.34,18.02,670.8,38.18,38.53,0.37,17.27
tensorflow.add,0.81,17.11,-0.14,18.02,672.26,34.01,33.87,nan,17.11
tensorflow.saved_model.save,1.2,40.13,5.76,20.53,759.28,37.57,43.34,4.24,20.06
tensorflow.sparse.SparseTensor,0.54,17.17,-0.11,18.02,696.48,57.12,57.01,nan,17.17
tensorflow.keras.applications.MobileNetV2,1.57,76.61,24.39,17.02,662.91,53.72,78.11,11.12,25.54
tensorflow.keras.applications.MobileNetV2.predict,3.34,161.63,40.83,17.52,654.18,32.91,73.74,3.2,23.09
tensorflow.data.Dataset.from_tensor_slices,0.75,35.35,0.79,17.52,658.93,36.82,37.61,0.78,17.68
tensorflow.keras.Sequential.fit,54.05,2516.22,643.96,20.53,766.72,38.62,682.58,0.84,23.3
tensorflow.keras.Sequential.evaluate,0.92,17.52,0.11,20.03,751.46,37.53,37.63,nan,17.52
tensorflow.data.experimental.CsvDataset,0.69,35.46,0.86,18.02,675.69,35.58,36.44,0.88,17.73
tensorflow.keras.utils.get_file,5.58,244.0,48.48,0.5,44.47,8.92,57.4,1.74,22.18
