Directory Name,Directory Path,Status
yunyang1994_tensorflow-yolov3,/home/saurabh/method-energy-dataset/projects/yunyang1994_tensorflow-yolov3,Pending
tensorflow_gnn,/home/saurabh/method-energy-dataset/projects/tensorflow_gnn,Pending
saafke_edsr_tensorflow,/home/saurabh/method-energy-dataset/projects/saafke_edsr_tensorflow,Pending
daviddao_spatial-transformer-tensorflow,/home/saurabh/method-energy-dataset/projects/daviddao_spatial-transformer-tensorflow,uses_tf1
tensorflow_graphics,/home/saurabh/method-energy-dataset/projects/tensorflow_graphics,Pending
tensorflow_compression,/home/saurabh/method-energy-dataset/projects/tensorflow_compression,Pending
kwotsin_tensorflow-xception,/home/saurabh/method-energy-dataset/projects/kwotsin_tensorflow-xception,Pending
himanshurawlani_keras-and-tensorflow-serving,/home/saurabh/method-energy-dataset/projects/himanshurawlani_keras-and-tensorflow-serving,no
tensorflow_models,/home/saurabh/method-energy-dataset/projects/tensorflow_models,Pending
z-yq_tensorflowasr,/home/saurabh/method-energy-dataset/projects/z-yq_tensorflowasr,Pending
tensorflow_privacy,/home/saurabh/method-energy-dataset/projects/tensorflow_privacy,Pending
lynnho_eigengan-tensorflow,/home/saurabh/method-energy-dataset/projects/lynnho_eigengan-tensorflow,Pending
byronnar_tensorflow-serving-yolov3,/home/saurabh/method-energy-dataset/projects/byronnar_tensorflow-serving-yolov3,uses_tf1
yzhou359_visemenet_tensorflow,/home/saurabh/method-energy-dataset/projects/yzhou359_visemenet_tensorflow,Pending
tensorflow_mesh,/home/saurabh/method-energy-dataset/projects/tensorflow_mesh,Pending
easy-tensorflow_easy-tensorflow,/home/saurabh/method-energy-dataset/projects/easy-tensorflow_easy-tensorflow,can
edjeelectronics_tensorflow-object-detection-api-tutorial-train-multiple-objects-windows-10,/home/saurabh/method-energy-dataset/projects/edjeelectronics_tensorflow-object-detection-api-tutorial-train-multiple-objects-windows-10,uses_tf1
dbeker_faster-rcnn-tensorflow-python3,/home/saurabh/method-energy-dataset/projects/dbeker_faster-rcnn-tensorflow-python3,uses_tf1
yeyupiaoling_voiceprintrecognition-tensorflow,/home/saurabh/method-energy-dataset/projects/yeyupiaoling_voiceprintrecognition-tensorflow,Pending
stick-to_centernet-tensorflow,/home/saurabh/method-energy-dataset/projects/stick-to_centernet-tensorflow,Pending
ahmetozlu_tensorflow_object_counting_api,/home/saurabh/method-energy-dataset/projects/ahmetozlu_tensorflow_object_counting_api,uses_tf1
bmw-innovationlab_bmw-tensorflow-inference-api-gpu,/home/saurabh/method-energy-dataset/projects/bmw-innovationlab_bmw-tensorflow-inference-api-gpu,Pending
google-research_tensorflow_constrained_optimization,/home/saurabh/method-energy-dataset/projects/google-research_tensorflow_constrained_optimization,no
lynnho_cyclegan-tensorflow-2,/home/saurabh/method-energy-dataset/projects/lynnho_cyclegan-tensorflow-2,Pending
packtpublishing_deep-learning-with-tensorflow,/home/saurabh/method-energy-dataset/projects/packtpublishing_deep-learning-with-tensorflow,Pending
marload_deeprl-tensorflow2,/home/saurabh/method-energy-dataset/projects/marload_deeprl-tensorflow2,Pending
onnx_onnx-tensorflow,/home/saurabh/method-energy-dataset/projects/onnx_onnx-tensorflow,Pending
xggiou_centernet_tensorflow_wilderface_voc,/home/saurabh/method-energy-dataset/projects/xggiou_centernet_tensorflow_wilderface_voc,Pending
tensorflow_decision-forests,/home/saurabh/method-energy-dataset/projects/tensorflow_decision-forests,Pending
sushant097_handwritten-line-text-recognition-using-deep-learning-with-tensorflow,/home/saurabh/method-energy-dataset/projects/sushant097_handwritten-line-text-recognition-using-deep-learning-with-tensorflow,Pending
xiao9616_yolo4_tensorflow2,/home/saurabh/method-energy-dataset/projects/xiao9616_yolo4_tensorflow2,Pending
spotify_spotify-tensorflow,/home/saurabh/method-energy-dataset/projects/spotify_spotify-tensorflow,Pending
drsleep_tensorflow-deeplab-lfov,/home/saurabh/method-energy-dataset/projects/drsleep_tensorflow-deeplab-lfov,uses_tf1
packtpublishing_tensorflow-machine-learning-cookbook,/home/saurabh/method-energy-dataset/projects/packtpublishing_tensorflow-machine-learning-cookbook,Pending
divamgupta_stable-diffusion-tensorflow,/home/saurabh/method-energy-dataset/projects/divamgupta_stable-diffusion-tensorflow,can
tensorflow_lattice,/home/saurabh/method-energy-dataset/projects/tensorflow_lattice,Pending
maybeshewill-cv_bisenetv2-tensorflow,/home/saurabh/method-energy-dataset/projects/maybeshewill-cv_bisenetv2-tensorflow,Pending
yenchenlin_pix2pix-tensorflow,/home/saurabh/method-energy-dataset/projects/yenchenlin_pix2pix-tensorflow,Pending
mnicnc404_cartoongan-tensorflow,/home/saurabh/method-energy-dataset/projects/mnicnc404_cartoongan-tensorflow,Pending
google_tensorflow-recorder,/home/saurabh/method-energy-dataset/projects/google_tensorflow-recorder,no
akanyaani_gpt-2-tensorflow2.0,/home/saurabh/method-energy-dataset/projects/akanyaani_gpt-2-tensorflow2.0,replicated
aws_sagemaker-tensorflow-training-toolkit,/home/saurabh/method-energy-dataset/projects/aws_sagemaker-tensorflow-training-toolkit,no
tensorflow_datasets,/home/saurabh/method-energy-dataset/projects/tensorflow_datasets,Pending
pudae_tensorflow-densenet,/home/saurabh/method-energy-dataset/projects/pudae_tensorflow-densenet,Pending
tensorflow_gan,/home/saurabh/method-energy-dataset/projects/tensorflow_gan,Pending
googlecloudplatform_tensorflow-object-detection-example,/home/saurabh/method-energy-dataset/projects/googlecloudplatform_tensorflow-object-detection-example,no
tensorflow_skflow,/home/saurabh/method-energy-dataset/projects/tensorflow_skflow,Pending
vladkryvoruchko_pspnet-keras-tensorflow,/home/saurabh/method-energy-dataset/projects/vladkryvoruchko_pspnet-keras-tensorflow,Pending
tensorflow_ranking,/home/saurabh/method-energy-dataset/projects/tensorflow_ranking,Pending
martinsbruveris_tensorflow-image-models,/home/saurabh/method-energy-dataset/projects/martinsbruveris_tensorflow-image-models,Pending
tensorflow_model-optimization,/home/saurabh/method-energy-dataset/projects/tensorflow_model-optimization,Pending
calmisential_tensorflow2.0_resnet,/home/saurabh/method-energy-dataset/projects/calmisential_tensorflow2.0_resnet,can
zhangqianhui_progressive_growing_of_gans_tensorflow,/home/saurabh/method-energy-dataset/projects/zhangqianhui_progressive_growing_of_gans_tensorflow,Pending
leimao_frozen-graph-tensorflow,/home/saurabh/method-energy-dataset/projects/leimao_frozen-graph-tensorflow,Pending
tensorflow_estimator,/home/saurabh/method-energy-dataset/projects/tensorflow_estimator,Pending
ckmarkoh_neuralart_tensorflow,/home/saurabh/method-energy-dataset/projects/ckmarkoh_neuralart_tensorflow,uses_tf1
taki0112_tensorflow-cookbook,/home/saurabh/method-energy-dataset/projects/taki0112_tensorflow-cookbook,Pending
clovaai_stargan-v2-tensorflow,/home/saurabh/method-energy-dataset/projects/clovaai_stargan-v2-tensorflow,can
tensorflow_data-validation,/home/saurabh/method-energy-dataset/projects/tensorflow_data-validation,Pending
taki0112_stargan_v2-tensorflow,/home/saurabh/method-energy-dataset/projects/taki0112_stargan_v2-tensorflow,Pending
ibm_tensorflow-hangul-recognition,/home/saurabh/method-energy-dataset/projects/ibm_tensorflow-hangul-recognition,Pending
tensorflow_quantum,/home/saurabh/method-energy-dataset/projects/tensorflow_quantum,Pending
