Directory Name,Directory Path,Status
yunyang1994_tensorflow-yolov3,../projects/yunyang1994_tensorflow-yolov3,Pending
tensorflow_gnn,../projects/tensorflow_gnn,Pending
saafke_edsr_tensorflow,../projects/saafke_edsr_tensorflow,Pending
daviddao_spatial-transformer-tensorflow,../projects/daviddao_spatial-transformer-tensorflow,uses_tf1
tensorflow_graphics,../projects/tensorflow_graphics,Pending
tensorflow_compression,../projects/tensorflow_compression,Pending
kwotsin_tensorflow-xception,../projects/kwotsin_tensorflow-xception,Pending
himanshurawlani_keras-and-tensorflow-serving,../projects/himanshurawlani_keras-and-tensorflow-serving,no
tensorflow_models,../projects/tensorflow_models,Pending
z-yq_tensorflowasr,../projects/z-yq_tensorflowasr,Pending
tensorflow_privacy,../projects/tensorflow_privacy,Pending
lynnho_eigengan-tensorflow,../projects/lynnho_eigengan-tensorflow,Pending
byronnar_tensorflow-serving-yolov3,../projects/byronnar_tensorflow-serving-yolov3,"uses_tf1"
yzhou359_visemenet_tensorflow,../projects/yzhou359_visemenet_tensorflow,Pending
tensorflow_mesh,../projects/tensorflow_mesh,Pending
easy-tensorflow_easy-tensorflow,../projects/easy-tensorflow_easy-tensorflow,can
edjeelectronics_tensorflow-object-detection-api-tutorial-train-multiple-objects-windows-10,../projects/edjeelectronics_tensorflow-object-detection-api-tutorial-train-multiple-objects-windows-10,uses_tf1
dbeker_faster-rcnn-tensorflow-python3,../projects/dbeker_faster-rcnn-tensorflow-python3,uses_tf1
yeyupiaoling_voiceprintrecognition-tensorflow,../projects/yeyupiaoling_voiceprintrecognition-tensorflow,Pending
stick-to_centernet-tensorflow,../projects/stick-to_centernet-tensorflow,Pending
ahmetozlu_tensorflow_object_counting_api,../projects/ahmetozlu_tensorflow_object_counting_api,uses_tf1
bmw-innovationlab_bmw-tensorflow-inference-api-gpu,../projects/bmw-innovationlab_bmw-tensorflow-inference-api-gpu,Pending
google-research_tensorflow_constrained_optimization,../projects/google-research_tensorflow_constrained_optimization,no
lynnho_cyclegan-tensorflow-2,../projects/lynnho_cyclegan-tensorflow-2,Pending
packtpublishing_deep-learning-with-tensorflow,../projects/packtpublishing_deep-learning-with-tensorflow,Pending
marload_deeprl-tensorflow2,../projects/marload_deeprl-tensorflow2,Pending
onnx_onnx-tensorflow,../projects/onnx_onnx-tensorflow,Pending
xggiou_centernet_tensorflow_wilderface_voc,../projects/xggiou_centernet_tensorflow_wilderface_voc,Pending
tensorflow_decision-forests,../projects/tensorflow_decision-forests,Pending
sushant097_handwritten-line-text-recognition-using-deep-learning-with-tensorflow,../projects/sushant097_handwritten-line-text-recognition-using-deep-learning-with-tensorflow,Pending
xiao9616_yolo4_tensorflow2,../projects/xiao9616_yolo4_tensorflow2,Pending
spotify_spotify-tensorflow,../projects/spotify_spotify-tensorflow,Pending
drsleep_tensorflow-deeplab-lfov,../projects/drsleep_tensorflow-deeplab-lfov,uses_tf1
packtpublishing_tensorflow-machine-learning-cookbook,../projects/packtpublishing_tensorflow-machine-learning-cookbook,Pending
divamgupta_stable-diffusion-tensorflow,../projects/divamgupta_stable-diffusion-tensorflow,can
tensorflow_lattice,../projects/tensorflow_lattice,Pending
maybeshewill-cv_bisenetv2-tensorflow,../projects/maybeshewill-cv_bisenetv2-tensorflow,Pending
yenchenlin_pix2pix-tensorflow,../projects/yenchenlin_pix2pix-tensorflow,Pending
mnicnc404_cartoongan-tensorflow,../projects/mnicnc404_cartoongan-tensorflow,Pending
google_tensorflow-recorder,../projects/google_tensorflow-recorder,no
akanyaani_gpt-2-tensorflow2.0,../projects/akanyaani_gpt-2-tensorflow2.0,replicated
aws_sagemaker-tensorflow-training-toolkit,../projects/aws_sagemaker-tensorflow-training-toolkit,no
tensorflow_datasets,../projects/tensorflow_datasets,Pending
pudae_tensorflow-densenet,../projects/pudae_tensorflow-densenet,Pending
tensorflow_gan,../projects/tensorflow_gan,Pending
googlecloudplatform_tensorflow-object-detection-example,../projects/googlecloudplatform_tensorflow-object-detection-example,no
tensorflow_skflow,../projects/tensorflow_skflow,Pending
vladkryvoruchko_pspnet-keras-tensorflow,../projects/vladkryvoruchko_pspnet-keras-tensorflow,Pending
tensorflow_ranking,../projects/tensorflow_ranking,Pending
martinsbruveris_tensorflow-image-models,../projects/martinsbruveris_tensorflow-image-models,Pending
tensorflow_model-optimization,../projects/tensorflow_model-optimization,Pending
calmisential_tensorflow2.0_resnet,../projects/calmisential_tensorflow2.0_resnet,can
zhangqianhui_progressive_growing_of_gans_tensorflow,../projects/zhangqianhui_progressive_growing_of_gans_tensorflow,Pending
leimao_frozen-graph-tensorflow,../projects/leimao_frozen-graph-tensorflow,Pending
tensorflow_estimator,../projects/tensorflow_estimator,Pending
ckmarkoh_neuralart_tensorflow,../projects/ckmarkoh_neuralart_tensorflow,uses_tf1
taki0112_tensorflow-cookbook,../projects/taki0112_tensorflow-cookbook,Pending
clovaai_stargan-v2-tensorflow,../projects/clovaai_stargan-v2-tensorflow,can
tensorflow_data-validation,../projects/tensorflow_data-validation,Pending
taki0112_stargan_v2-tensorflow,../projects/taki0112_stargan_v2-tensorflow,Pending
ibm_tensorflow-hangul-recognition,../projects/ibm_tensorflow-hangul-recognition,Pending
tensorflow_quantum,../projects/tensorflow_quantum,Pending
rishizek_tensorflow-deeplab-v3-plus,../projects/rishizek_tensorflow-deeplab-v3-plus,Pending
bmw-innovationlab_bmw-tensorflow-training-gui,../projects/bmw-innovationlab_bmw-tensorflow-training-gui,uses_tf1
janmarcelkezmann_tensorflow-advanced-segmentation-models,../projects/janmarcelkezmann_tensorflow-advanced-segmentation-models,Pending
tensorflow_tfx,../projects/tensorflow_tfx,Pending
tensorflow_kfac,../projects/tensorflow_kfac,Pending
packtpublishing_hands-on-neural-networks-with-tensorflow-2.0,../projects/packtpublishing_hands-on-neural-networks-with-tensorflow-2.0,Pending
hunglc007_tensorflow-yolov4-tflite,../projects/hunglc007_tensorflow-yolov4-tflite,Pending
taki0112_stylegan-tensorflow,../projects/taki0112_stylegan-tensorflow,Pending
tensorflow_transform,../projects/tensorflow_transform,Pending
mystic123_tensorflow-yolo-v3,../projects/mystic123_tensorflow-yolo-v3,Pending
pinto0309_openvino2tensorflow,../projects/pinto0309_openvino2tensorflow,Pending
aws_sagemaker-tensorflow-serving-container,../projects/aws_sagemaker-tensorflow-serving-container,no
lyhue1991_eat_tensorflow2_in_30_days,../projects/lyhue1991_eat_tensorflow2_in_30_days,Pending
tensorflow_model-card-toolkit,../projects/tensorflow_model-card-toolkit,Pending
taki0112_tensorflow2-cookbook,../projects/taki0112_tensorflow2-cookbook,Pending
tobegit3hub_tensorflow_template_application,../projects/tobegit3hub_tensorflow_template_application,Pending
ahmetozlu_vehicle_counting_tensorflow,../projects/ahmetozlu_vehicle_counting_tensorflow,uses_tf1
tobegit3hub_tensorflow_examples,../projects/tobegit3hub_tensorflow_examples,Pending
tensorspeech_tensorflowtts,../projects/tensorspeech_tensorflowtts,Pending
cagbal_ros_people_object_detection_tensorflow,../projects/cagbal_ros_people_object_detection_tensorflow,uses_tf1
tensorflow_recommenders-addons,../projects/tensorflow_recommenders-addons,Pending
tensorflow_addons,../projects/tensorflow_addons,Pending
pannous_tensorflow-speech-recognition,../projects/pannous_tensorflow-speech-recognition,Pending
maybeshewill-cv_crnn_tensorflow,../projects/maybeshewill-cv_crnn_tensorflow,Pending
tensorflow_cloud,../projects/tensorflow_cloud,Pending
tensorflow_tensor2tensor,../projects/tensorflow_tensor2tensor,Pending
tensorflow_federated,../projects/tensorflow_federated,Pending
tensorflow_lingvo,../projects/tensorflow_lingvo,Pending
lynnho_attgan-tensorflow,../projects/lynnho_attgan-tensorflow,Pending
tensorflow_moonlight,../projects/tensorflow_moonlight,Pending
google-research_tensorflow-coder,../projects/google-research_tensorflow-coder,no
paulpauls_tensorflow-neuroevolution,../projects/paulpauls_tensorflow-neuroevolution,Pending
thunlp_tensorflow-transx,../projects/thunlp_tensorflow-transx,Pending
tensorflow_model-analysis,../projects/tensorflow_model-analysis,Pending
bmw-innovationlab_bmw-tensorflow-inference-api-cpu,../projects/bmw-innovationlab_bmw-tensorflow-inference-api-cpu,uses_tf1
astorfi_tensorflow-world,../projects/astorfi_tensorflow-world,can
kentsommer_tensorflow-posenet,../projects/kentsommer_tensorflow-posenet,Pending
getnamo_tensorflow-ue4-examples,../projects/getnamo_tensorflow-ue4-examples,uses_tf1
tensorflow_agents,../projects/tensorflow_agents,Pending
detectionteamucas_r2cnn_faster-rcnn_tensorflow,../projects/detectionteamucas_r2cnn_faster-rcnn_tensorflow,uses_tf1
kwotsin_tensorflow-enet,../projects/kwotsin_tensorflow-enet,Pending
zhengyang-wang_deeplab-v2--resnet-101--tensorflow,../projects/zhengyang-wang_deeplab-v2--resnet-101--tensorflow,Pending
calmisential_basic_cnns_tensorflow2,../projects/calmisential_basic_cnns_tensorflow2,can
mingtaoguo_dcgan_wgan_wgan-gp_lsgan_sngan_rsgan_began_acgan_pggan_tensorflow,../projects/mingtaoguo_dcgan_wgan_wgan-gp_lsgan_sngan_rsgan_began_acgan_pggan_tensorflow,Pending
vahidk_tensorflowframework,../projects/vahidk_tensorflowframework,Pending
tensorflow_neural-structured-learning,../projects/tensorflow_neural-structured-learning,Pending
yeephycho_tensorflow-face-detection,../projects/yeephycho_tensorflow-face-detection,Pending
sullychen_autopilot-tensorflow,../projects/sullychen_autopilot-tensorflow,Pending
wizyoung_yolov3_tensorflow,../projects/wizyoung_yolov3_tensorflow,Pending
manicman1999_stylegan2-tensorflow-2.0,../projects/manicman1999_stylegan2-tensorflow-2.0,Pending
zhengyang-wang_3d-unet--tensorflow,../projects/zhengyang-wang_3d-unet--tensorflow,Pending
thinklab-sjtu_r3det_tensorflow,../projects/thinklab-sjtu_r3det_tensorflow,Pending
drsleep_tensorflow-deeplab-resnet,../projects/drsleep_tensorflow-deeplab-resnet,uses_tf1
rafiqhasan_auto-tensorflow,../projects/rafiqhasan_auto-tensorflow,Pending
philipperemy_tensorflow-class-activation-mapping,../projects/philipperemy_tensorflow-class-activation-mapping,Pending
