function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_saved_model,0.06,8.78,0.02,0.0,0.0,0.0,0.02,nan,17.57
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,17.62,-0.03,19.03,1287.71,943.68,943.65,0.01,17.62
tensorflow.keras.models.load_model.save,0.4,8.84,-0.03,18.51,1267.17,930.23,930.2,nan,17.68
tensorflow.convert_to_tensor,0.56,8.76,-0.09,19.02,1327.35,981.84,981.74,nan,17.53
tensorflow.saved_model.save,0.37,9.02,0.07,18.52,1308.4,968.58,968.65,nan,18.03
tensorflow.profiler.experimental.start,0.58,8.7,-0.05,18.52,1250.16,917.75,917.7,nan,17.4
tensorflow.keras.utils.get_file,5.96,103.64,-0.57,0.0,0.0,0.0,-0.57,0.04,17.26
tensorflow.keras.applications.MobileNet,1.97,89.48,54.84,18.01,1263.52,943.04,997.88,25.09,45.46
tensorflow.RaggedTensor.from_uniform_row_length,0.11,8.96,0.01,19.02,1312.94,963.95,963.96,nan,17.92
tensorflow.keras.optimizers.Adam.apply_gradients,0.63,8.48,-0.02,0.0,0.0,0.0,-0.02,nan,16.97
tensorflow.data.TFRecordDataset.map,2.86,120.1,76.61,17.02,1198.12,893.75,970.36,24.49,54.17
tensorflow.estimator.DNNClassifier,0.66,8.71,0.04,18.52,1263.4,933.81,933.84,nan,17.42
tensorflow.estimator.DNNClassifier.evaluate,0.81,8.6,-0.08,19.52,1307.91,960.91,960.83,nan,17.19
tensorflow.compat.v1.estimator.Estimator.evaluate,0.26,8.82,-0.08,18.02,1243.78,914.44,914.37,nan,17.65
tensorflow.nn.avg_pool,0.76,18.5,0.75,19.02,1331.61,985.44,986.19,1.12,18.5
tensorflow.keras.applications.MobileNetV2,0.97,19.9,2.2,18.52,1320.67,984.22,986.41,3.05,19.9
tensorflow.keras.applications.MobileNetV2.predict,3.34,182.87,120.87,19.03,1404.74,1059.29,1180.16,25.48,71.88
tensorflow.data.experimental.CsvDataset,0.69,17.37,-0.03,19.52,1345.22,997.3,997.27,0.0,17.37
tensorflow.keras.models.Sequential.fit,0.26,8.85,-0.0,19.02,1310.88,965.63,965.63,nan,17.7
tensorflow.lite.TFLiteConverter.from_keras_model.convert,8.83,450.75,294.6,18.52,1295.28,965.64,1260.24,24.8,64.0
tensorflow.keras.layers.Normalization.adapt,1.27,39.24,12.62,18.52,1345.08,1008.02,1020.64,13.51,18.88
tensorflow.keras.utils.audio_dataset_from_directory,1.21,26.02,0.17,18.52,1300.32,972.84,973.01,0.0,17.35
tensorflow.keras.layers.StringLookup.adapt,225.69,16679.02,9111.58,17.52,1354.92,750.86,9862.44,4.52,74.39
tensorflow.keras.layers.TextVectorization.adapt,397.12,29925.67,22972.71,19.01,1392.93,1051.41,24024.12,3.55,76.12
tensorflow.keras.Model.normalized_timestamp.adapt,2.16,98.14,52.98,20.02,1450.24,1079.92,1132.9,24.73,30.2
tensorflow.keras.Model.title_text_embedding.layers[0].adapt,393.76,29719.09,22543.62,20.02,1466.37,1092.55,23636.17,3.5,75.71
tensorflow.compat.v1.Session,0.73,8.8,-0.01,19.02,1296.91,953.4,953.39,nan,17.6
tensorflow.compat.v1.Session.run,6.31,263.7,157.18,19.02,1555.72,1209.56,1366.74,35.2,22.38
tensorflow.keras.datasets.mnist.load_data,0.28,8.77,-0.04,0.0,0.0,0.0,-0.04,nan,17.54
tensorflow.data.Dataset.from_tensor_slices.shuffle.batch,0.85,8.8,-0.07,18.52,1314.81,977.61,977.54,nan,17.61
tensorflow.keras.models.Sequential.numpy,0.79,17.88,0.52,19.02,1338.03,999.61,1000.13,0.77,17.88
tensorflow.keras.losses.SparseCategoricalCrossentropy.numpy,0.05,8.83,-0.0,19.52,1313.3,960.09,960.09,nan,17.66
tensorflow.linalg.solve,1.56,42.5,16.05,18.51,1331.04,995.88,1011.93,10.75,28.24
tensorflow.keras.Model.fit,3.53,194.67,133.41,19.03,1496.89,1155.58,1288.99,36.98,54.89
tensorflow.compat.v1.distribute.MirroredStrategy,0.5,8.84,-0.1,18.51,1268.48,928.79,928.69,nan,17.67
