function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.keras.estimator.model_to_estimator,3.0,145.07,92.17,19.03,1367.78,1023.95,1116.13,25.92,53.64
tensorflow.keras.estimator.model_to_estimator.train,9.24,468.85,300.41,18.01,1313.72,985.71,1286.12,36.6,32.33
tensorflow.keras.estimator.model_to_estimator.evaluate,3.87,113.86,43.39,18.01,1305.26,979.34,1022.73,21.56,17.63
tensorflow.keras.layers.DenseFeatures.numpy,0.06,8.8,-7.95,17.02,1178.65,592.61,584.66,nan,17.59
tensorflow.estimator.LinearClassifier.train,1.1,17.31,-0.08,20.02,1373.7,1017.18,1017.1,0.04,17.31
tensorflow.estimator.LinearClassifier.evaluate,2.22,35.26,0.38,18.52,1289.25,957.87,958.25,0.14,17.58
tensorflow.keras.datasets.cifar10.load_data,1.32,26.25,-0.06,0.0,0.0,0.0,-0.06,0.02,17.51
tensorflow.estimator.LinearClassifier.train.evaluate,1.64,29.15,2.69,19.02,1345.59,1001.59,1004.28,3.56,17.38
tensorflow.estimator.Estimator.train,0.25,8.82,-0.04,18.53,1270.25,933.68,933.64,nan,17.64
tensorflow.estimator.LinearClassifier.export_saved_model,0.14,8.78,0.05,19.01,1261.51,921.12,921.18,nan,17.56
tensorflow.estimator.LinearRegressor.train,2.75,52.26,-0.48,19.02,1336.4,993.57,993.08,0.04,17.42
tensorflow.estimator.LinearRegressor.evaluate,0.92,17.3,-0.13,19.02,1325.94,985.97,985.84,0.0,17.3
tensorflow.compat.v1.estimator.DNNClassifier.train,1.97,48.54,12.9,19.03,1362.77,1015.38,1028.28,9.33,20.75
tensorflow.keras.models.Model.fit,3.13,176.88,116.15,19.02,1353.66,1015.35,1131.5,26.6,71.12
tensorflow.keras.Model.evaluate,1.33,51.11,24.8,18.53,1348.41,1015.06,1039.86,21.78,26.02
method-level (sum),1099.54,79374.95,56133.87,843.88,59696.78,43883.99,100017.87,383.15,1402.11
