function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,14.21,-0.05,18.82,1304.9,960.9,960.85,nan,17.75
tensorflow.profiler.experimental.start,0.53,8.81,-0.02,18.42,1290.37,956.58,956.55,nan,17.62
tensorflow.keras.applications.MobileNet,2.06,86.33,47.61,18.62,1325.9,989.78,1037.39,25.15,39.14
tensorflow.data.TFRecordDataset.map,2.92,134.81,84.17,16.42,1161.54,866.49,950.66,25.96,46.54
tensorflow.estimator.DNNClassifier,0.68,12.22,-0.03,18.72,1313.97,977.78,977.74,nan,17.45
tensorflow.estimator.DNNClassifier.evaluate,0.71,10.51,-0.05,18.72,1297.11,959.61,959.56,nan,17.52
tensorflow.nn.avg_pool,0.78,19.02,1.27,18.82,1346.55,1004.0,1005.27,1.9,19.02
tensorflow.keras.applications.MobileNetV2.predict,3.27,169.89,112.02,18.72,1362.67,1026.09,1138.11,25.22,51.5
tensorflow.data.experimental.CsvDataset,0.7,14.04,-0.02,19.12,1342.29,997.58,997.55,nan,17.56
tensorflow.lite.TFLiteConverter.from_keras_model.convert,3.47,132.79,72.09,18.82,1331.3,996.63,1068.72,14.07,29.98
tensorflow.keras.layers.StringLookup.adapt,222.22,16470.5,11794.53,18.62,1406.29,1008.25,12802.78,4.09,74.23
tensorflow.keras.layers.TextVectorization.adapt,369.97,27819.44,21256.97,18.63,1382.78,1043.8,22300.76,3.29,75.27
tensorflow.keras.Model.normalized_timestamp.adapt,2.26,87.71,46.58,18.72,1358.67,1015.46,1062.04,24.57,38.2
tensorflow.keras.Model.title_text_embedding.layers[0].adapt,395.33,29668.14,22614.54,19.32,1436.89,1083.09,23697.63,3.08,75.15
tensorflow.keras.models.Sequential.numpy,0.77,17.64,1.83,18.52,1322.9,988.75,990.58,nan,19.41
tensorflow.compat.v1.distribute.MirroredStrategy,0.63,10.65,-0.03,18.92,1336.47,990.7,990.66,nan,17.76
tensorflow.keras.estimator.model_to_estimator.train,9.3,443.47,282.14,18.01,1319.52,995.12,1277.25,34.19,48.2
tensorflow.estimator.LinearClassifier.train,1.1,20.03,-4.06,18.92,1323.55,928.31,924.25,1.09,18.03
tensorflow.estimator.LinearClassifier.evaluate,2.07,35.79,0.7,18.72,1310.57,973.74,974.44,0.74,17.89
tensorflow.keras.datasets.cifar10.load_data,0.9,17.43,-0.07,0.0,0.0,0.0,-0.07,nan,17.42
tensorflow.estimator.LinearClassifier.train.evaluate,1.59,27.16,0.88,19.23,1354.35,1009.14,1010.01,1.1,18.11
tensorflow.estimator.LinearRegressor.train,2.72,50.56,-0.23,18.72,1315.75,979.5,979.28,0.05,17.44
tensorflow.estimator.LinearRegressor.evaluate,0.92,17.41,-0.1,19.02,1315.76,974.29,974.19,0.01,17.41
tensorflow.compat.v1.estimator.DNNClassifier.train,2.04,49.48,14.09,18.52,1323.92,987.73,1001.82,11.01,24.74
tensorflow.keras.Model.evaluate,1.33,35.02,12.02,18.72,1359.35,1019.33,1031.35,12.05,26.59
method-level (sum),1028.99,75373.07,56336.75,447.77,31943.38,23732.65,80069.4,187.58,779.93
