function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,4.91,-0.03,6.41,49.5,0.86,0.83,nan,3.52
tensorflow.profiler.experimental.start,0.53,4.25,-0.04,2.1,20.04,1.45,1.42,nan,3.54
tensorflow.keras.applications.MobileNet,2.06,24.94,2.52,3.2,39.81,2.67,5.19,0.57,6.02
tensorflow.data.TFRecordDataset.map,2.92,25.4,5.09,6.71,54.5,4.06,9.15,0.69,4.39
tensorflow.estimator.DNNClassifier,0.68,5.03,0.05,4.91,42.18,3.61,3.66,nan,3.58
tensorflow.estimator.DNNClassifier.evaluate,0.71,5.65,-0.02,3.1,24.96,0.93,0.91,nan,3.53
tensorflow.nn.avg_pool,0.78,7.34,0.26,0.4,7.02,1.35,1.61,0.17,3.67
tensorflow.keras.applications.MobileNetV2.predict,3.27,28.69,4.14,0.7,7.17,0.72,4.86,0.64,4.22
tensorflow.data.experimental.CsvDataset,0.7,5.8,0.08,8.21,64.69,2.42,2.5,nan,3.61
tensorflow.lite.TFLiteConverter.from_keras_model.convert,3.47,30.46,4.87,3.9,33.57,2.24,7.11,0.41,3.92
tensorflow.keras.layers.StringLookup.adapt,222.22,1497.75,-74.21,1.9,14.88,0.2,-74.01,0.03,3.37
tensorflow.keras.layers.TextVectorization.adapt,369.97,2588.48,-246.3,2.1,16.34,0.74,-245.56,0.25,3.54
tensorflow.keras.Model.normalized_timestamp.adapt,2.26,16.92,0.7,1.4,12.41,0.48,1.18,0.32,3.68
tensorflow.keras.Model.title_text_embedding.layers[0].adapt,395.33,2677.22,-118.18,0.4,4.22,0.02,-118.16,0.09,3.39
tensorflow.keras.models.Sequential.numpy,0.77,6.68,0.29,1.9,18.83,1.78,2.07,nan,3.69
tensorflow.compat.v1.distribute.MirroredStrategy,0.63,5.32,0.05,3.5,30.63,1.68,1.73,nan,3.9
tensorflow.keras.estimator.model_to_estimator.train,9.3,87.13,21.33,2.8,25.91,2.64,23.97,0.93,4.68
tensorflow.estimator.LinearClassifier.train,1.1,7.29,0.24,6.01,47.29,1.38,1.62,0.18,3.65
tensorflow.estimator.LinearClassifier.evaluate,2.07,14.4,0.24,3.1,26.4,0.94,1.19,0.11,3.6
tensorflow.keras.datasets.cifar10.load_data,0.9,7.31,0.22,0.6,9.03,1.26,1.48,nan,3.61
tensorflow.estimator.LinearClassifier.train.evaluate,1.59,12.1,0.82,4.91,39.16,0.94,1.76,0.3,3.78
tensorflow.estimator.LinearRegressor.train,2.72,24.66,4.11,21.73,162.29,5.19,9.3,0.68,4.27
tensorflow.estimator.LinearRegressor.evaluate,0.92,7.44,0.35,4.41,35.87,1.21,1.57,0.23,3.72
tensorflow.compat.v1.estimator.DNNClassifier.train,2.04,15.33,1.19,6.31,50.21,2.14,3.34,0.45,3.83
tensorflow.keras.Model.evaluate,1.33,9.43,0.16,2.9,23.08,0.44,0.6,0.19,3.62
method-level (sum),1028.99,7119.93,-392.04,103.63,859.98,41.36,-350.68,6.25,96.33
