function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,3.66,-0.04,1.0,10.96,0.33,0.32,nan,3.52
tensorflow.profiler.experimental.start,0.52,3.57,-0.04,2.0,18.99,1.47,1.42,nan,3.57
tensorflow.keras.applications.MobileNet,1.97,21.97,2.84,3.0,27.94,2.35,6.33,0.65,4.84
tensorflow.data.TFRecordDataset.map,2.96,25.77,4.96,5.51,45.61,3.67,8.47,0.72,4.32
tensorflow.estimator.DNNClassifier,0.69,3.59,0.02,4.51,37.46,1.87,1.89,0.21,3.56
tensorflow.estimator.DNNClassifier.evaluate,0.69,7.02,-0.02,3.0,24.92,0.13,0.1,0.03,3.52
tensorflow.nn.avg_pool,0.77,7.3,0.23,0.5,8.76,1.66,1.81,0.17,3.65
tensorflow.keras.applications.MobileNetV2.predict,3.26,29.43,4.14,0.0,0.0,0.0,4.35,0.65,4.4
tensorflow.data.experimental.CsvDataset,0.69,7.18,0.06,5.01,40.92,2.01,2.02,nan,3.66
tensorflow.lite.TFLiteConverter.from_keras_model.convert,2.14,18.36,0.85,1.0,12.34,1.6,2.56,0.27,3.6
tensorflow.keras.layers.StringLookup.adapt,221.98,1497.11,-70.77,0.0,0.0,0.0,-70.77,0.03,3.37
tensorflow.keras.layers.TextVectorization.adapt,392.02,2663.6,-167.17,0.0,0.0,0.0,-167.17,0.09,3.37
tensorflow.keras.Model.normalized_timestamp.adapt,2.24,18.09,0.64,0.5,7.23,0.19,1.14,0.37,3.57
tensorflow.keras.Model.title_text_embedding.layers[0].adapt,394.35,2677.23,-138.43,0.0,0.0,0.0,-138.43,0.08,3.37
tensorflow.keras.models.Sequential.numpy,0.77,7.35,0.21,0.5,8.91,1.86,1.98,0.3,3.68
tensorflow.compat.v1.distribute.MirroredStrategy,0.65,5.34,0.02,3.0,26.71,1.94,1.9,0.01,3.56
tensorflow.keras.estimator.model_to_estimator.train,9.24,87.9,21.25,2.5,23.76,2.79,24.3,0.95,4.79
tensorflow.estimator.LinearClassifier.train,1.1,7.23,0.21,6.01,46.4,1.06,1.33,0.13,3.62
tensorflow.estimator.LinearClassifier.evaluate,2.06,14.45,0.23,2.0,18.14,0.47,0.67,0.11,3.56
tensorflow.keras.datasets.cifar10.load_data,0.61,7.12,0.09,0.5,8.34,1.25,1.32,nan,3.56
tensorflow.estimator.LinearClassifier.train.evaluate,1.6,11.41,0.84,2.0,17.92,0.85,1.81,0.29,3.78
tensorflow.estimator.LinearRegressor.train,2.75,24.9,3.66,27.53,202.12,6.04,10.7,0.69,4.01
tensorflow.estimator.LinearRegressor.evaluate,0.92,7.49,0.37,5.01,39.54,0.91,1.37,0.23,3.74
tensorflow.compat.v1.estimator.DNNClassifier.train,2.05,15.46,1.25,5.51,43.47,1.74,3.03,0.48,3.67
tensorflow.keras.Model.evaluate,1.33,10.58,0.03,1.0,10.6,0.0,0.03,0.15,3.62
method-level (sum),1048.08,7183.11,-334.56,81.6,681.04,34.2,-297.49,6.62,93.91
